|USER|PASSWORD|TRAVEL_DATE|DESTINATION|
|USER_1|PASS_1|1/17/2017|Sucre|
|USER_2|PASS_2|9/21/2017|Santa Cruz|
|USER_3|PASS_3|6/12/2017|Oruro|
|USER_4|PASS_4|4/20/2017|La Paz|
|USER_5|PASS_5|7/7/2017|La Paz|
|USER_6|PASS_6|8/14/2017|Pando|
|USER_7|PASS_7|5/15/2017|La Paz|
|USER_8|PASS_8|8/19/2017|Pando|
|USER_9|PASS_9|1/13/2017|Cochabamba|
|USER_10|PASS_10|10/9/2017|Santa Cruz|
|USER_11|PASS_11|7/3/2017|Sucre|
|USER_12|PASS_12|7/22/2017|Sucre|
|USER_13|PASS_13|4/9/2017|Sucre|
|USER_14|PASS_14|0/19/2017|Sucre|
|USER_15|PASS_15|3/25/2017|Sucre|
|USER_16|PASS_16|9/8/2017|Santa Cruz|
|USER_17|PASS_17|2/6/2017|Santa Cruz|
|USER_18|PASS_18|4/17/2017|Sucre|
|USER_19|PASS_19|6/7/2017|Potosi|
|USER_20|PASS_20|10/21/2017|La Paz|
|USER_21|PASS_21|7/3/2017|La Paz|
|USER_22|PASS_22|9/4/2017|Beni|
|USER_23|PASS_23|8/22/2017|La Paz|
|USER_24|PASS_24|5/11/2017|Pando|
|USER_25|PASS_25|10/28/2017|Potosi|
|USER_26|PASS_26|10/2/2017|Tarija|
|USER_27|PASS_27|7/14/2017|Oruro|
|USER_28|PASS_28|10/11/2017|Oruro|
|USER_29|PASS_29|5/17/2017|Santa Cruz|
|USER_30|PASS_30|8/30/2017|Sucre|
|USER_31|PASS_31|2/28/2017|Santa Cruz|
|USER_32|PASS_32|11/22/2017|Beni|
|USER_33|PASS_33|8/10/2017|Santa Cruz|
|USER_34|PASS_34|0/30/2017|Santa Cruz|
|USER_35|PASS_35|10/10/2017|Potosi|
|USER_36|PASS_36|2/14/2017|Santa Cruz|
|USER_37|PASS_37|9/9/2017|La Paz|
|USER_38|PASS_38|4/16/2017|Tarija|
|USER_39|PASS_39|3/2/2017|Beni|
|USER_40|PASS_40|8/12/2017|La Paz|
|USER_41|PASS_41|8/0/2017|Oruro|
|USER_42|PASS_42|4/27/2017|Tarija|
|USER_43|PASS_43|10/19/2017|Beni|
|USER_44|PASS_44|6/20/2017|Oruro|
|USER_45|PASS_45|5/18/2017|Oruro|
|USER_46|PASS_46|8/25/2017|Oruro|
|USER_47|PASS_47|0/0/2017|Oruro|
|USER_48|PASS_48|6/16/2017|Beni|
|USER_49|PASS_49|10/19/2017|Sucre|
|USER_50|PASS_50|7/1/2017|Sucre|
|USER_51|PASS_51|2/25/2017|Cochabamba|
|USER_52|PASS_52|4/18/2017|Oruro|
|USER_53|PASS_53|8/21/2017|Sucre|
|USER_54|PASS_54|3/24/2017|Cochabamba|
|USER_55|PASS_55|1/21/2017|Beni|
|USER_56|PASS_56|0/22/2017|Beni|
|USER_57|PASS_57|3/5/2017|Santa Cruz|
|USER_58|PASS_58|0/19/2017|Tarija|
|USER_59|PASS_59|11/4/2017|Santa Cruz|
|USER_60|PASS_60|5/3/2017|Pando|
|USER_61|PASS_61|8/25/2017|Pando|
|USER_62|PASS_62|7/3/2017|La Paz|
|USER_63|PASS_63|10/27/2017|Potosi|
|USER_64|PASS_64|0/12/2017|Pando|
|USER_65|PASS_65|8/12/2017|Pando|
|USER_66|PASS_66|8/6/2017|Beni|
|USER_67|PASS_67|10/7/2017|Beni|
|USER_68|PASS_68|2/8/2017|Tarija|
|USER_69|PASS_69|2/25/2017|La Paz|
|USER_70|PASS_70|10/3/2017|Sucre|
|USER_71|PASS_71|3/1/2017|Beni|
|USER_72|PASS_72|7/28/2017|Cochabamba|
|USER_73|PASS_73|0/1/2017|Oruro|
|USER_74|PASS_74|1/10/2017|Pando|
|USER_75|PASS_75|6/7/2017|La Paz|
|USER_76|PASS_76|1/0/2017|La Paz|
|USER_77|PASS_77|9/23/2017|Sucre|
|USER_78|PASS_78|1/11/2017|Potosi|
|USER_79|PASS_79|5/9/2017|Potosi|
|USER_80|PASS_80|6/23/2017|Cochabamba|
|USER_81|PASS_81|3/28/2017|Tarija|
|USER_82|PASS_82|2/14/2017|Sucre|
|USER_83|PASS_83|1/5/2017|Cochabamba|
|USER_84|PASS_84|5/17/2017|La Paz|
|USER_85|PASS_85|6/27/2017|Sucre|
|USER_86|PASS_86|7/24/2017|Tarija|
|USER_87|PASS_87|8/21/2017|Cochabamba|
|USER_88|PASS_88|0/9/2017|Tarija|
|USER_89|PASS_89|9/7/2017|Santa Cruz|
|USER_90|PASS_90|11/5/2017|Pando|
|USER_91|PASS_91|8/14/2017|Sucre|
|USER_92|PASS_92|8/5/2017|Santa Cruz|
|USER_93|PASS_93|10/7/2017|Sucre|
|USER_94|PASS_94|10/9/2017|Beni|
|USER_95|PASS_95|3/16/2017|Tarija|
|USER_96|PASS_96|9/25/2017|Santa Cruz|
|USER_97|PASS_97|10/10/2017|Tarija|
|USER_98|PASS_98|4/28/2017|Oruro|
|USER_99|PASS_99|9/23/2017|Potosi|
|USER_100|PASS_100|9/30/2017|Pando|
